date,price,multiplier,invest_this_month,shares_bought,total_shares,total_invested,market_value,unrealized_pnl,pnl_pct
2017-09-01,15.76,0.5529,1658.75,105.110026,8380.42733,99643.08,132064.38,32421.3,32.54
2017-10-02,15.47,0.73,2190.1,141.334017,8521.761347,101833.18,131864.69,30031.51,29.49
2017-11-01,16.16,0.5762,1728.57,106.830765,8628.592111,103561.74,139415.45,35853.71,34.62
2017-12-01,15.68,0.8046,2413.86,153.699281,8782.291393,105975.6,137730.24,31754.63,29.96
2018-01-02,15.68,0.9021,2706.25,172.316893,8954.608286,108681.85,140432.63,31750.78,29.21
2018-02-01,16.6,0.7963,2388.81,143.670566,9098.278851,111070.66,151061.63,39990.97,36.0
2018-03-01,15.92,0.8759,2627.63,164.800175,9263.079027,113698.29,147483.57,33785.28,29.71
2018-04-02,16.02,0.9001,2700.38,168.333131,9431.412158,116398.67,151082.18,34683.51,29.8
2018-05-02,15.46,1.0797,3239.1,209.163122,9640.57528,119637.77,149081.54,29443.77,24.61
2018-06-01,15.84,1.0356,3106.86,195.81442,9836.389699,122744.62,155845.3,33100.67,26.97
2018-07-02,15.79,0.9537,2861.07,180.990851,10017.38055,125605.7,158127.61,32521.91,25.89
2018-08-01,16.92,0.8693,2608.05,153.934042,10171.314592,128213.74,172083.47,43869.73,34.22
2018-09-03,16.98,0.7719,2315.64,136.201087,10307.515679,130529.38,174995.07,44465.69,34.07
2018-10-01,17.15,0.7952,2385.56,138.867804,10446.383482,132914.94,179198.99,46284.05,34.82
2018-11-01,15.4,1.104,3312.0,214.807165,10661.190648,136226.93,164145.34,27918.41,20.49
2018-12-03,15.48,1.2054,3616.13,233.342066,10894.532714,139843.07,168593.81,28750.75,20.56
2019-01-02,14.54,1.2184,3655.16,250.989787,11145.522502,143498.23,162081.07,18582.84,12.95
2019-02-11,15.22,1.2615,3784.58,248.3738,11393.896301,147282.8,173366.65,26083.85,17.71
2019-03-04,15.58,1.0838,3251.27,208.382866,11602.279167,150534.08,180765.81,30231.73,20.08
2019-04-01,16.17,1.0556,3166.76,195.594853,11797.87402,153700.84,190740.5,37039.67,24.1
2019-05-02,16.81,0.7774,2332.24,138.583492,11936.457512,156033.07,200593.97,44560.9,28.56
2019-06-03,15.9,0.9076,2722.76,170.954351,12107.411863,158755.83,192558.14,33802.31,21.29
2019-07-01,16.73,0.7792,2337.52,139.485572,12246.897435,161093.35,204943.05,43849.71,27.22
2019-08-01,16.81,0.6438,1931.51,114.768403,12361.665839,163024.86,207746.07,44721.22,27.43
2019-09-02,16.72,0.803,2409.1,143.845722,12505.511561,165433.96,209142.0,43708.04,26.42
2019-10-01,17.55,0.7265,2179.37,123.996671,12629.508232,167613.32,221660.48,54047.16,32.25
2019-11-01,18.4,0.6178,1853.3,100.587858,12730.096089,169466.62,234213.73,64747.11,38.21
2019-12-02,18.8,0.5,1500.0,79.68802,12809.78411,170966.62,240780.66,69814.04,40.83
