date,price,multiplier,invest_this_month,shares_bought,total_shares,total_invested,market_value,unrealized_pnl,pnl_pct
2025-02-03,47.17,1.0,3000.0,63.506402,21216.5252,384000.0,1000828.29,616828.29,160.63
2025-03-03,46.03,1.0,3000.0,65.076752,21281.601952,387000.0,979673.29,592673.29,153.15
2025-04-01,43.16,1.0,3000.0,69.413975,21351.015928,390000.0,921455.68,531455.68,136.27
2025-05-02,42.47,1.0,3000.0,70.534203,21421.55013,393000.0,909816.82,516816.82,131.51
2025-06-02,43.06,1.0,3000.0,69.57182,21491.12195,396000.0,925397.98,529397.98,133.69
2025-07-01,47.63,1.0,3000.0,62.899281,21554.021231,399000.0,1026562.64,627562.64,157.28
2025-08-01,50.39,1.0,3000.0,59.452328,21613.473559,402000.0,1089076.87,687076.87,170.91
2025-09-01,51.28,1.0,3000.0,58.42334,21671.896899,405000.0,1111254.08,706254.08,174.38
2025-10-01,57.29,1.0,3000.0,52.289395,21724.186294,408000.0,1244608.4,836608.4,205.05
2025-11-03,63.26,1.0,3000.0,47.357968,21771.544261,411000.0,1377206.31,966206.31,235.09
2025-12-01,60.64,1.0,3000.0,49.398598,21820.942859,414000.0,1323310.36,909310.36,219.64
2026-01-02,66.02,1.0,3000.0,45.377354,21866.320214,417000.0,1443575.02,1026575.02,246.18
2026-02-02,71.5,1.0,3000.0,41.898337,21908.218551,420000.0,1566437.63,1146437.63,272.96
2026-03-02,80.35,1.0,3000.0,37.283524,21945.502074,423000.0,1763321.06,1340321.06,316.86
2026-04-01,75.45,1.0,3000.0,39.704854,21985.206928,426000.0,1658783.8,1232783.8,289.39
